Epoch,Activation,Hidden Units,Dropout,Train Accuracy,Val Accuracy
1,relu,256,0.1,0.7645984375,0.7923625
2,relu,256,0.1,0.8056578125,0.800025
3,relu,256,0.1,0.8211328125,0.8016
4,relu,256,0.1,0.8324609375,0.7997
5,relu,256,0.1,0.8409578125,0.8031
1,relu,512,0.1,0.7630890625,0.7881
2,relu,512,0.1,0.8041046875,0.79655
3,relu,512,0.1,0.8188765625,0.7971875
4,relu,512,0.1,0.8293140625,0.7990375
5,relu,512,0.1,0.8376359375,0.7989125
1,relu,256,0.3,0.761046875,0.7915125
2,relu,256,0.3,0.8002640625,0.7979625
3,relu,256,0.3,0.8121234375,0.8012
4,relu,256,0.3,0.8212328125,0.8033
5,relu,256,0.3,0.827203125,0.8025
1,relu,512,0.3,0.75835625,0.7865875
2,relu,512,0.3,0.796203125,0.79245
3,relu,512,0.3,0.80746875,0.79515
4,relu,512,0.3,0.81176875,0.796825
5,relu,512,0.3,0.8142890625,0.7954375
1,relu,256,0.5,0.7553125,0.78845
2,relu,256,0.5,0.7931625,0.7969625
3,relu,256,0.5,0.8030109375,0.7984875
4,relu,256,0.5,0.8089125,0.800875
5,relu,256,0.5,0.8137328125,0.8029
1,relu,512,0.5,0.7485828125,0.7784125
2,relu,512,0.5,0.7758046875,0.7664625
3,relu,512,0.5,0.771403125,0.7712
4,relu,512,0.5,0.7662578125,0.7606
5,relu,512,0.5,0.7603609375,0.7537875
1,tanh,256,0.1,0.7646296875,0.7925625
2,tanh,256,0.1,0.8003421875,0.7967
3,tanh,256,0.1,0.8094375,0.8013375
4,tanh,256,0.1,0.8159265625,0.8003875
5,tanh,256,0.1,0.8211,0.8034375
1,tanh,512,0.1,0.7623296875,0.7911
2,tanh,512,0.1,0.799453125,0.7959
3,tanh,512,0.1,0.8095109375,0.797175
4,tanh,512,0.1,0.81644375,0.8015375
5,tanh,512,0.1,0.8220875,0.80045
1,tanh,256,0.3,0.762134375,0.7899625
2,tanh,256,0.3,0.7965421875,0.798225
3,tanh,256,0.3,0.8045890625,0.800025
4,tanh,256,0.3,0.809275,0.8013125
5,tanh,256,0.3,0.813190625,0.8013125
1,tanh,512,0.3,0.76063125,0.78915
2,tanh,512,0.3,0.79545625,0.7968
3,tanh,512,0.3,0.804484375,0.795725
4,tanh,512,0.3,0.8088734375,0.8006125
5,tanh,512,0.3,0.8127890625,0.8005125
1,tanh,256,0.5,0.7585640625,0.791225
2,tanh,256,0.5,0.7921125,0.7985625
3,tanh,256,0.5,0.7993,0.80075
4,tanh,256,0.5,0.8038359375,0.8006125
5,tanh,256,0.5,0.806690625,0.803475
1,tanh,512,0.5,0.7571421875,0.787125
2,tanh,512,0.5,0.7906078125,0.797
3,tanh,512,0.5,0.7985453125,0.799225
4,tanh,512,0.5,0.8029015625,0.798925
5,tanh,512,0.5,0.805775,0.8021125
1,sigmoid,256,0.1,0.7682546875,0.7913
2,sigmoid,256,0.1,0.807025,0.8022875
3,sigmoid,256,0.1,0.8205125,0.8039375
4,sigmoid,256,0.1,0.830621875,0.8047
5,sigmoid,256,0.1,0.8390046875,0.8053
1,sigmoid,512,0.1,0.7673421875,0.7956875
2,sigmoid,512,0.1,0.8081390625,0.8038375
3,sigmoid,512,0.1,0.8235984375,0.8054125
4,sigmoid,512,0.1,0.8357125,0.8052375
5,sigmoid,512,0.1,0.8459484375,0.80685
1,sigmoid,256,0.3,0.767275,0.794325
2,sigmoid,256,0.3,0.802928125,0.8021875
3,sigmoid,256,0.3,0.8134265625,0.8051625
4,sigmoid,256,0.3,0.82009375,0.8053
5,sigmoid,256,0.3,0.8256875,0.8047875
1,sigmoid,512,0.3,0.765884375,0.7946625
2,sigmoid,512,0.3,0.8037609375,0.802175
3,sigmoid,512,0.3,0.81513125,0.803025
4,sigmoid,512,0.3,0.8230109375,0.8074875
5,sigmoid,512,0.3,0.8297125,0.80685
1,sigmoid,256,0.5,0.7645015625,0.7931125
2,sigmoid,256,0.5,0.7984375,0.8014125
3,sigmoid,256,0.5,0.806940625,0.8026125
4,sigmoid,256,0.5,0.8115453125,0.804375
5,sigmoid,256,0.5,0.8164671875,0.8069125
1,sigmoid,512,0.5,0.7634015625,0.7937
2,sigmoid,512,0.5,0.7984046875,0.8016625
3,sigmoid,512,0.5,0.80813125,0.8018
4,sigmoid,512,0.5,0.8140859375,0.8056
5,sigmoid,512,0.5,0.8183625,0.8056375
